childneutralaffect,0.639,motherpositiveaffect
childneutralaffect,0.749,nochildindependentcleanup
cleanupnotrequested,0.67,nochildindependentcleanup
motherpositiveaffect,0.588,nochildindependentcleanup
childneutralaffect,-0.525,yescompliance
vsmallmissionsteps,0.555,yescompliance
vsmallmissionsteps,0.574,vpositivefeedback
yescompliance,0.636,vpositivefeedback
vconcern,0.514,pconcernexp
pmodeling,0.765,vmodeling
childneutralaffect,0.624,childalert
cleanupnotrequested,0.509,childalert
motherpositiveaffect,0.605,childalert
nochildindependentcleanup,0.775,childalert
childneutralaffect,0.528,noinadequateboundariessetting
motherpositiveaffect,0.93,noinadequateboundariessetting
ptouchingtoysforcleanup,-0.515,noinadequateboundariessetting
vsmallmissionsteps,-0.508,noinadequateboundariessetting
childalert,0.624,noinadequateboundariessetting
vmotivationarousal,0.572,pmotivationalarrousal
pforcefultouchforcleanup,0.559,unclearcompiance
